File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.08331394196,	1.44753348827,	0.482540935278,	2.5775202852,	2.57145537685,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.43023014069,	1.68857717514,	0.562893867493,	3.02185480908,	3.0074988281,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.81033754349,	1.9370085001,	0.645709395409,	3.5055455393,	3.49681975915,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.27352571487,	1.16462361813,	0.388231873512,	2.56342713629,	2.56132393836,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.65221333504,	1.35860109329,	0.45289504528,	2.96611649435,	2.95774930689,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.06460261345,	1.55686295033,	0.518986403942,	3.47425895267,	3.46844952687,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.42346930504,	0.853786110878,	0.284612923861,	2.54158395877,	2.54417127502,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.82737612724,	0.996070027351,	0.332043856382,	2.98555294807,	2.98739666593,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.26481342316,	1.14049100876,	0.380187124014,	3.44849261457,	3.44705300523,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.52729320526,	0.521407425404,	0.173813208938,	2.53400629908,	2.53927978617,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.94891786575,	0.608375370502,	0.20280431211,	2.96793259091,	2.97409238196,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.40374040604,	0.696203231812,	0.232082054019,	3.40380875685,	3.42062851321,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.58045482635,	0.175368249416,	0.0584596917033,	2.55188518625,	2.55647856359,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.01127266884,	0.204641774297,	0.0682181343436,	2.99097526227,	2.98477982852,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.47506833076,	0.23412270844,	0.0780457183719,	3.45671858743,	3.4549638667,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.58045458794,	0.0,	0.0,	2.54384752168,	2.55477238607,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.01127386093,	0.0,	0.0,	3.01016057373,	3.01177873469,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.47506761551,	0.0,	0.0,	3.4333658709,	3.43789101977,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.55853509903,	0.0,	0.0,	2.5295029664,	2.5364016497,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.95102453232,	0.0,	0.0,	2.92457374662,	2.93810274288,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.35292863846,	0.0,	0.0,	3.33128370429,	3.33182002882,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.55853509903,	0.158040881157,	0.0929491445422,	2.53970574759,	2.54682327011,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.95102334023,	0.182294100523,	0.107213281095,	2.93041437973,	2.94343267572,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.35292983055,	0.202952161431,	0.119362987578,	3.35443150169,	3.34172930502,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.50640964508,	0.470000743866,	0.276423215866,	2.52520769528,	2.53574351213,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.891466856,	0.542233884335,	0.31890591979,	2.92767314183,	2.91720965881,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.28867554665,	0.604239702225,	0.355373650789,	3.33491546467,	3.32537513304,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.40448498726,	0.769938528538,	0.452826678753,	2.57323435147,	2.56774585414,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.77505874634,	0.888653635979,	0.522647023201,	2.97438994264,	2.95719775037,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.16283226013,	0.992027759552,	0.583444833755,	3.38019789767,	3.37858034538,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.25701069832,	1.05084967613,	0.618040025234,	2.6154394086,	2.6154394086,	4.0,	1.0
